Age,Gender,Origin,HighSchool_GPA,Admission_Score,First_Semester_Grade,Socioeconomic_Level,Scholarship,Loan,Dropout
23.0,Female,Rural,91.87,79.87,65.46,High,Yes,No,Yes
20.0,Male,Rural,,89.19,44.96,Medium,Yes,,Yes
29.0,Female,Rural,65.57,74.05,70.88,High,No,Yes,Yes
27.0,Male,Rural,61.37,52.04,93.93,High,Yes,,No
,Male,Rural,,,0.0,Low,Yes,No,Yes
29.0,Male,Rural,68.97,71.93,53.67,High,No,No,Yes
21.0,Female,Rural,87.21,86.24,0.0,Medium,Yes,No,Yes
23.0,Male,Rural,60.28,79.66,80.04,Low,No,Yes,Yes
26.0,Male,Urban,89.39,82.51,40.63,Low,Yes,No,No
,Female,Urban,80.19,73.96,55.32,High,Yes,Yes,No
23.0,Female,Urban,55.71,80.79,55.64,Low,No,Yes,Yes
27.0,Male,Urban,70.73,66.45,44.16,Low,No,Yes,No
27.0,Male,Rural,93.18,73.51,97.59,Low,Yes,,Yes
24.0,Female,Rural,96.15,87.21,68.7,Low,No,No,Yes
21.0,,Urban,73.29,93.59,93.75,Low,No,,No
20.0,Female,Rural,74.04,71.68,59.33,Low,Yes,Yes,No
24.0,Female,Urban,95.92,52.18,47.51,Medium,Yes,Yes,Yes
24.0,Female,Rural,79.35,58.08,68.46,High,Yes,Yes,Yes
19.0,Male,Urban,51.64,51.04,46.84,,No,Yes,No
22.0,Female,Rural,95.64,82.66,69.16,Low,No,No,Yes
21.0,Male,,62.41,66.62,95.22,Low,No,Yes,No
18.0,Male,Urban,78.88,77.12,71.25,High,No,No,Yes
24.0,,Rural,58.28,74.66,76.99,,Yes,Yes,Yes
28.0,Female,Urban,51.69,54.08,49.4,High,No,Yes,No
22.0,Male,Urban,65.57,70.16,42.62,Medium,Yes,Yes,No
18.0,Male,Urban,89.02,61.03,46.65,Low,No,Yes,No
28.0,Female,Urban,63.88,70.92,75.91,High,Yes,No,
21.0,Male,Rural,61.0,,45.7,High,Yes,No,No
17.0,Male,Rural,60.63,92.02,62.56,Low,Yes,No,No
28.0,Female,Rural,75.76,58.71,73.01,High,No,Yes,No
26.0,Male,Urban,,98.04,63.32,Medium,Yes,Yes,Yes
22.0,Male,Rural,72.95,70.8,49.82,Medium,Yes,No,Yes
29.0,Male,Urban,77.87,92.31,56.43,Medium,No,No,Yes
,Female,Rural,93.03,81.44,95.7,Medium,Yes,Yes,No
25.0,Female,Rural,76.75,86.77,80.56,Low,No,Yes,No
17.0,Female,Rural,120.0,88.39,69.76,High,No,No,No
27.0,Male,,64.98,75.24,40.76,Medium,Yes,Yes,Yes
27.0,Male,Rural,65.5,77.17,99.54,Low,Yes,Yes,No
26.0,Female,Rural,69.87,75.7,80.29,High,No,No,No
28.0,Male,Urban,71.34,79.4,59.02,High,Yes,Yes,
28.0,,Rural,89.99,51.47,92.76,Low,No,No,No
19.0,Female,Urban,67.47,69.78,55.51,Low,No,Yes,Yes
28.0,Female,Rural,73.41,80.31,72.64,Medium,No,No,Yes
23.0,Male,Urban,81.25,79.89,78.16,High,Yes,Yes,No
20.0,Male,Urban,68.89,89.65,53.26,High,No,No,No
25.0,Male,Rural,91.83,82.75,,Low,Yes,No,No
,Female,Urban,79.37,99.61,84.89,High,Yes,No,
21.0,Female,Urban,64.7,64.19,73.47,Medium,Yes,,Yes
19.0,Female,,85.7,67.96,50.84,High,Yes,Yes,Yes
23.0,Female,Urban,76.38,69.19,43.23,Low,No,Yes,No
21.0,Male,Urban,76.72,73.29,59.2,Low,Yes,No,No
25.0,Female,Urban,74.05,91.8,85.19,Medium,No,Yes,No
23.0,Female,Rural,74.85,61.79,56.16,Medium,No,Yes,No
18.0,Female,Urban,88.27,88.8,72.37,High,Yes,Yes,Yes
20.0,Female,Urban,55.15,70.27,83.68,High,No,Yes,
25.0,Female,Rural,66.72,80.09,46.48,Low,,Yes,Yes
28.0,Male,Rural,53.78,81.63,81.12,Medium,Yes,No,Yes
